ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0041,2016-03-29,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD,2016-03-30 00:00:00
2016-0043,2016-03-30,2016,3,30,PEATON,PEATON,FEMENINO,56,2016-03-30 00:00:00
2016-0044,2016-03-31,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24,2016-03-31 00:00:00
2016-0045,2016-04-11,2016,4,11,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0047,2016-04-15,2016,4,15,PEATON,PEATON,MASCULINO,41,2016-04-15 00:00:00
2016-0048,2016-04-15,2016,4,15,PEATON,PEATON,FEMENINO,SD,SD
2016-0049,2016-04-17,2016,4,17,SD,SD,SD,SD,SD
2016-0050,2016-04-19,2016,4,19,PEATON,PEATON,MASCULINO,78,2016-04-19 00:00:00
2016-0051,2016-04-20,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36,2016-04-20 00:00:00
2016-0052,2016-04-20,2016,4,20,SD,MOTO,SD,SD,SD
2016-0053,2016-04-22,2016,4,22,PEATON,PEATON,MASCULINO,38,2016-04-22 00:00:00
2016-0054,2016-04-23,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30,2016-04-25 00:00:00
2016-0055,2016-04-25,2016,4,25,PEATON,PEATON,MASCULINO,79,2016-04-28 00:00:00
2016-0056,2016-04-26,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26,2016-04-26 00:00:00
2016-0058,2016-05-04,2016,5,4,PEATON,PEATON,FEMENINO,57,2016-05-08 00:00:00
2016-0059,2016-05-08,2016,5,8,PEATON,PEATON,MASCULINO,37,2016-05-26 00:00:00
2016-0064,2016-05-14,2016,5,14,PEATON,PEATON,MASCULINO,20,SD
2016-0065,2016-05-20,2016,5,20,PEATON,PEATON,MASCULINO,20,2016-05-20 00:00:00
2016-0067,2016-05-21,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,SD
2016-0068,2016-05-22,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58,SD
2016-0069,2016-05-23,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30,2016-05-23 00:00:00
2016-0073,2016-06-11,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0074,2016-06-12,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60,SD
2016-0075,2016-06-12,2016,6,12,PEATON,PEATON,MASCULINO,42,2016-06-12 00:00:00
2016-0076,2016-06-13,2016,6,13,PEATON,PEATON,FEMENINO,53,2016-06-13 00:00:00
2016-0077,2016-06-13,2016,6,13,PEATON,PEATON,FEMENINO,SD,SD
2016-0078,2016-06-13,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0079,2016-06-16,2016,6,16,CONDUCTOR,AUTO,FEMENINO,51,SD
2016-0080,2016-06-18,2016,6,18,CONDUCTOR,AUTO,MASCULINO,60,SD
2016-0081,2016-06-22,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40,SD
2016-0082,2016-06-27,2016,6,27,PEATON,PEATON,MASCULINO,87,2016-07-05 00:00:00
2016-0083,2016-06-28,2016,6,28,PEATON,PEATON,FEMENINO,76,2016-06-29 00:00:00
2016-0084,2016-06-29,2016,6,29,PEATON,PEATON,MASCULINO,57,2016-07-08 00:00:00
2016-0085,2016-06-29,2016,6,29,SD,MOTO,MASCULINO,SD,SD
2016-0086,2016-06-30,2016,6,30,PEATON,PEATON,MASCULINO,75,2016-07-01 00:00:00
2016-0087,2016-07-03,2016,7,3,CONDUCTOR,MOTO,MASCULINO,23,2016-07-03 00:00:00
2016-0088,2016-07-11,2016,7,11,PEATON,PEATON,FEMENINO,70,2016-07-14 00:00:00
2016-0089,2016-07-14,2016,7,14,PEATON,PEATON,MASCULINO,35,2016-07-14 00:00:00
2016-0090,2016-07-14,2016,7,14,PEATON,PEATON,MASCULINO,60,2016-07-15 00:00:00
2016-0092,2016-07-15,2016,7,15,CONDUCTOR,MOTO,MASCULINO,24,2016-07-15 00:00:00
2016-0093,2016-07-17,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35,2016-07-19 00:00:00
2016-0095,2016-07-23,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29,2016-07-23 00:00:00
2016-0096,2016-07-25,2016,7,25,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0097,2016-07-26,2016,7,26,PEATON,PEATON,MASCULINO,80,2016-08-12 00:00:00
2016-0098,2016-07-27,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43,SD
2016-0099,2016-07-29,2016,7,29,CONDUCTOR,CARGAS,MASCULINO,45,SD
2016-0100,2016-08-03,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57,2016-08-03 00:00:00
2016-0101,2016-08-07,2016,8,7,SD,SD,MASCULINO,67,SD
2016-0102,2016-08-10,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29,SD
2016-0104,2016-08-14,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21,2016-08-15 00:00:00
2016-0105,2016-08-17,2016,8,17,PEATON,PEATON,MASCULINO,19,2016-08-26 00:00:00
2016-0106,2016-08-19,2016,8,19,PEATON,PEATON,MASCULINO,38,SD
2016-0107,2016-08-20,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21,SD
2016-0109,2016-08-24,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53,2016-08-24 00:00:00
2016-0110,2016-08-24,2016,8,24,PEATON,PEATON,MASCULINO,57,SD
2016-0111,2016-08-25,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27,2016-08-25 00:00:00
2016-0112,2016-08-27,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24,2016-08-27 00:00:00
2016-0113,2016-08-27,2016,8,27,PEATON,PEATON,FEMENINO,60,SD
2016-0114,2016-08-31,2016,8,31,CICLISTA,BICICLETA,FEMENINO,55,2016-08-31 00:00:00
2016-0115,2016-09-02,2016,9,2,SD,SD,MASCULINO,SD,SD
2016-0116,2016-09-02,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30,2016-09-02 00:00:00
