ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Altura,Cruce,Dirección Normalizada,COMUNA,XY (CABA),pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
2021-0056,1,2021-07-09,2021,7,9,23:25:00,23,"CORRALES Y MORENO, PERITO AV.",AVENIDA,CORRALES,,"MORENO, PERITO AV.","CORRALES y MORENO, PERITO AV.",4,Point (103535.89012020 97690.49979847),-58.42473018,-34.65008280,BICICLETA-AUTO,BICICLETA,AUTO
2021-0057,1,2021-07-10,2021,7,10,23:30:00,23,"AU ILLIA KM 3.2, ALTURA CABINAS DE PEAJE",AUTOPISTA,AUTOPISTA ARTURO ILLIA,,,AUTOPISTA  ARTURO ILLIA (CABINA DE PEAJE),2,Point (106489.89755339 105947.16700228),-58.39257023,-34.57563957,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2021-0058,1,2021-07-21,2021,7,21,00:40:00,0,AV. GRAL. PAZ Y VEDIA,GRAL PAZ,"PAZ, GRAL. AV.",,VEDIA,"PAZ, GRAL. AV. y VEDIA",12,Point (97603.26759351 109241.33811464),-58.48941042,-34.54596153,PEATON-AUTO,PEATON,AUTO
2021-0059,1,2021-07-22,2021,7,22,01:20:00,1,"GARAY, JUAN DE AV. 2269",AVENIDA,"GARAY, JUAN DE AV.",2269.0,,"GARAY, JUAN DE AV. 2269",3,Point (106134.00626590 100157.65420238),-58.39640740,-34.62783085,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2021-0060,1,2021-07-22,2021,7,22,12:30:00,12,"SALGUERO, JERONIMO Y RIVADAVIA AV.",AVENIDA,"SALGUERO, JERONIMO",,RIVADAVIA AV.,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,Point (103997.04813615 102012.34139150),-58.41971993,-34.61112240,PEATON-PASAJEROS,PEATON,PASAJEROS
2021-0061,1,2021-07-24,2021,7,24,09:15:00,9,"MORENO, PERITO AV. Y ALCORTA, AMANCIO AV.",AVENIDA,"MORENO, PERITO AV.",,"ALCORTA, AMANCIO AV.","MORENO, PERITO AV. y ALCORTA, AMANCIO AV.",4,Point (105303.77662691 97684.64886839),-58.40544588,-34.65012801,PEATON-CARGAS,PEATON,CARGAS
2021-0062,1,2021-07-27,2021,7,27,07:16:00,7,LA PLATA AV. 2723,AVENIDA,LA PLATA AV.,2723.0,,LA PLATA AV. 2723,4,Point (103966.14093695 98092.26779856),-58.42003882,-34.64645957,AUTO-CARGAS,AUTO,CARGAS
2021-0063,1,2021-08-02,2021,8,2,04:40:00,4,"ALBERDI, JUAN BAUTISTA AV. 2906",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",2906.0,,"ALBERDI, JUAN BAUTISTA AV. 2906",7,Point (99521.99764944 99532.20302798),-58.46851293,-34.63348678,AUTO-AUTO,AUTO,AUTO
2021-0064,1,2021-08-02,2021,8,2,20:00:00,20,"PAZ, GRAL. AV. Y TONELERO",GRAL PAZ,"PAZ, GRAL. AV.",,TONELERO,"PAZ, GRAL. AV. y TONELERO",9,Point (93948.70282497 97229.16264548),-58.52931141,-34.65422917,PEATON-CARGAS,PEATON,CARGAS
2021-0065,1,2021-08-06,2021,8,6,08:30:00,8,Av. SAN JUAN Y AV. LA PLATA,AVENIDA,SAN JUAN AV.,,LA PLATA AV.,SAN JUAN AV. y LA PLATA AV.,6,Point (103350.94520286 100251.53397151),-58.42675754,-34.62699730,PEATON-PASAJEROS,PEATON,PASAJEROS
2021-0066,1,2021-08-06,2021,8,6,20:00:00,20,Av. LOPE DE VEGA Y AV. GRAL. PAZ,AVENIDA,LOPE DE VEGA AV.,,"PAZ, GRAL. AV.","LOPE DE VEGA AV. y PAZ, GRAL. AV.",11,Point (93943.16495967 102026.75338495),-58.52933723,-34.61098186,PEATON-PASAJEROS,PEATON,PASAJEROS
2021-0067,1,2021-08-08,2021,8,8,09:29:00,9,"AU FRONDIZI KM 2,9 (ALTURA BRASIL)",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,Point (107720.23994349 100176.85080944),-58.37910943,-34.62764718,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
